,entity1,entity_1_type,entity2,entity_2_type,relation,sentence
901,Run,sports discipline,Walking,intentional human action,subclass of,Y ou walk run skip jump and move from place to place
902,Table 8,table,Animal,taxon,depicts,Let us see how animals move from place to place by filling up Table 8
903,Slither,organisms known by a particular common name,Animal,taxon,subclass of,Walk run fly jump cr eep crawl slither and swim ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ these are only a few of the ways in which animals move from one place to a
904,Swimming,intentional human action,Crawl,motion,opposite of,Why ar e ther e so many differences in the way that animals move from place to place Why is it that many animals walk while a snake slithers or crawls and a fish swims 8
905,Movement,motion,Animal,taxon,part of,1HUMAN BODY AND ITS MOVEMENTS Let us look closely at some of our own movements to begin with before looking at all these varieties of movements in animals
907,Animal,taxon,Animal locomotion,motion,uses,1 How do animals move from place to place l a m i n Ad e s u t r a p y d o B g n i v o m r o f o t e c a l p m o r f e c a l ps e o d w o H l a m i n a e h t e v o m w o C s g e L k l a W s n a m u H e k a n S y d o b e l o h W r e h t i l S d r i B t c e s n I h s i F Boojho wonders about movements in plants
908,Shoulder,free lower limb segment,Arm,anatomical structure,part of,How did you move your arm Did you rotate it at the shoulder in a circular movement Did your shoulder also move Lie down and rotate your leg at the hip
909,Shoulder,cardinal body part,Arm,anatomical structure,part of,Bend your arm to touch your shoulder with your fingers
910,Straighten your arm,bend,Bend,motion,instance of,Which part of your arm did you bend Straighten your arm and try to bend it downwards
911,Tendon,anatomical structure,Elbow,anatomical structure,connects with,Now try to bend your elbow
912,Shoulder,cardinal body part,Neck,cardinal body part,connects with,1 Can you bend your arm now Body PartMovement 2022 23 68 SCIENCEDid you notice that we are able to bend or rotate our body in places where two parts of our body seem to be joined together ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ like elbow shoulder or neck These places are called 
913,Finger,digit,Toe,digit,connects with,Can you name more such joints If our body has no joints do you think it would be possible for us to move in any way at all What exactly is joined together at these joints Press your fingers against the top of your head face neck nose ear back of the shoulder hands and legs including the fingers and toes
914,Bodybuilder,type of sport,Sport,physical activity,uses,Repeat this activity on other parts of your body
915,Ball and socket joints,joint,Cylinder,solid figure,part of,Ball and socket joints Activity 2 Roll a strip of paper into a cylinder
916,Ball,sports equipment,Natural rubber,plant material,made from material,Make a small hole in an old rubber or plastic ball under supervision and push the paper cylinder into it as shown in Fig
917,Ball (basketball),basketball,Basketball,type of sport,subclass of,Y ou can also stick the cylinder on the ball
918,Association football,type of sport,Ball (association football),football,uses,Put the ball in a small bowl
919,End (basketball),None,Bowl (basketball),sports equipment,part of,Does the ball rotate freely inside the bowl Does the paper cylinder also rotate Now imagine that the paper cylinder is your arm and the ball is its end
920,Movement,motion,Joint,heterogeneous anatomical cluster,part of,Such a joint allows movements in all directions
921,Head,cardinal body part,Neck,cardinal body part,connects with,Can you name another such joint you can think of recollecting the body movements we tried at the beginning of this section Pivotal Joint The joint where our neck joins the head is a pivotal joint Fig
922,Right,cardinal direction,Left,cardinal direction,opposite of,It allows us to bend our head forward and backward and turn the head to our right or left
923,Circle,locus,Arm,cardinal body part,part of,How ar e these movements different from those of our arm that can rotate a complete circle inFig
924,P pivotal joint,joint,Joint,heterogeneous anatomical cluster,subclass of,2 Making a ball and socket joint Ball and Socket JointBowl Ball Paper Cylinder 2022 23 69 BODY MOVEMENTS its ball and socket joint In a pivotal joint a cylindrical bone rotates in a ring
925,Hinge joint,None,Door,device,part of,Hinge joints Open and close a door a few times
926,Hearth,None,Door,device,part of,Observe the hinges of the door carefully
927,Hinge,lock,Physical activity,activity,use,Activity 3 Let us look at the kind of movement allowed by a hinge
928,Cardboar d,chart paper,Chart paper,paper,subclass of,Make a cylinder with cardboar d or thick chart paper as shown in Fig
930,Hinge,bearing,Cylinder (machine),machine element,connects with,The hollow half cylinder with the rolled up cylinder sitting inside it allows movement like a hinge
932,Socket joint,anatomical structure,Ball and socket joint,anatomical structure,connects with,How does it move How is this movement different from what we saw with our constructed ball and socket joint W e saw this kind ofmovement at the elbow in Activity 1
933,Fig (mathematics),function,Function (mathematics),mathematical concept,instance of,What we have constructed in Fig
934,Hinge, hinge,5,None,different from,5 is different from a hinge of course
935,Hinge,bearing,Movement,motion,use,But it illustrates the direction in which a hinge allows movement
936,Hinge joint,medical term,Elbow,anatomical structure,connects with,The elbow has a hinge joint that allows only a back and forth movement Fig
937,Fixed joint,joint,Joint,heterogeneous anatomical cluster,subclass of,Such joints are called fixed joints
938,Lower jaw,None,Upper jaw,None,opposite of,When you open your mouth wide you can move your lower jaw away fr om your head isnﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽt it T ry to move your upper ja
939,Fixed joint,medical term,Joint,heterogeneous anatomical cluster,subclass of,Are you able to move it There is a joint between the upper jaw and the rest of the head which is a fixed joint
940,Hinge,joint,Joint,heterogeneous anatomical cluster,subclass of,5 Directions of movement allowed by a hinge like jointFig
941,Finger,digit,Hand,cardinal body part,part of,9 Bones of the handBend your fingers
942,Middle finger,finger,Hand,cardinal body part,part of,Are you able to bend them at every joint How many bones does your middle finger have Feel the back of your palm
943,Deep breath,breathing,Breathing,biological process,instance of,7 The Human skeleton Activity 4 Take a deep breath and hold it for a little while
944,Chest bone,bone,Chest,anatomical structure,part of,10 carefully and compare with what you feel of the chest bones
945,Rib,bone,Tibia,medical term,connects with,W e see that the ribs ar e curiously bent
946,Rib cage,anatomical structure,Rib,bone,part of,This is called the rib cage
947,Rib,bone,Chest,anatomical structure,part of,There are 12 ribs on each side of chest
948,Toe,digit,Knee,free lower limb segment,connects with,Ask some friends to touch their toes without bending their knees
949,What you feel,None,Backbone,None,part of,What you feel is the backbone
950,Vertebra,irregular bone,Backbone,bone,part of,The backbone consists of 33 vertebrae Fig
951,13,natural number,Natural number,integer sequence,instance of,13 carefully
953,Muscle bulge,clinical sign,Muscle contraction,biological process,has cause,The muscle bulged due to contraction it became smaller in length 
954,Argentina,sovereign state,Buenos Aires,city,capital,Now bring your arm back to its normal position
955,Leg,anatomical structure,Walking,intentional human action,use,What happened to the muscle Is it still contracted Y ou can observe similar contraction of muscles in your leg when you walk or run
956,Bone contraction,biological process,Bone relaxation,biological process,opposite of,To move the bone in the opposite direction the relaxed musle contracts to pull the bone towards its original position while the first relaxes
957,Ear lobe,anatomical structure,Ear,anatomical structure,part of,17 Are muscles and bones always required for movement How do other animals move Do all animals have bones What about an earthworm or aYou do feel something in the upper parts of the ear that is not as soft as the ear lobe but not as hard as a bone isnﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽt it This is car
958,Cartilage,anatomical structure,Joint,heterogeneous anatomical cluster,part of,Cartilage is also found in the joints of the body
959,Bend,motion,Motion,change,subclass of,Y ou could feel bend and move many of them
961,Thumb,finger,Finger,digit,part of,Make a fist with one hand bend your arm at the elbow and touch your shoulder with the thumb Fig
962,Touch it with the other hand,None,Arm,cardinal body part,part of,Do you see any change in your upper arm Touch it with the other hand
